H(Hydrogen),K,13eV
He(Helium),K,25eV
Li(Lithium),K,55eV
Be(Beryllium),K,111eV
B(Boron),K,188eV
C(Carbon),K,284eV
N(Nitrogen),K,400eV
O(Oxygen),K,532eV
F(Fluorine),K,685eV
Ne(Neon),K,867eV
Ne(Neon),"L2,3",18eV
Na(Sodium),K,1072eV
Na(Sodium),"L2,3",32eV
Mg(Magnesium),K,1305eV
Mg(Magnesium),"L2,3",52eV
Al(Aluminum),K,1560eV
Al(Aluminum),L1,118eV
Al(Aluminum),"L2,3",73eV
Si(Silicon),K,1839eV
Si(Silicon),L1,149eV
Si(Silicon),"L2,3",100eV
P(Phosphorus),K,2149eV
P(Phosphorus),L1,189eV
P(Phosphorus),"L2,3",135eV
S(Sulfur),K,2472eV
S(Sulfur),L1,229eV
S(Sulfur),"L2,3",165eV
Cl(Chlorine),K,2823eV
Cl(Chlorine),L1,270eV
Cl(Chlorine),"L2,3",200eV
Ar(Argon),K,3203eV
Ar(Argon),L1,320eV
Ar(Argon),"L2,3",246eV
K(Potassium),K,3608eV
K(Potassium),L1,377eV
K(Potassium),"L2,3",294eV
Ca(Calcium),K,4038eV
Ca(Calcium),L1,438eV
Ca(Calcium),"L2,3",349eV
Sc(Scandium),K,4493eV
Sc(Scandium),L1,500eV
Sc(Scandium),"L2,3",404eV
Ti(Titanium),K,4965eV
Ti(Titanium),L1,564eV
Ti(Titanium),"L2,3",458eV
Ti(Titanium),"M2,3",47eV
V(Vanadium),K,5465eV
V(Vanadium),L1,628eV
V(Vanadium),"L2,3",517eV
V(Vanadium),"M2,3",47eV
Cr(Chromium),K,5989eV
Cr(Chromium),L1,695eV
Cr(Chromium),"L2,3",580eV
Cr(Chromium),"M2,3",48eV
Mn(Manganese),K,6539eV
Mn(Manganese),L1,770eV
Mn(Manganese),"L2,3",646eV
Mn(Manganese),"M2,3",51eV
Fe(Iron),K,7113eV
Fe(Iron),L1,846eV
Fe(Iron),"L2,3",715eV
Fe(Iron),"M2,3",57eV
Co(Cobalt),K,7709eV
Co(Cobalt),L1,926eV
Co(Cobalt),"L2,3",787eV
Co(Cobalt),"M2,3",62eV
Ni(Nickel),K,8333eV
Ni(Nickel),L1,1008eV
Ni(Nickel),"L2,3",864eV
Ni(Nickel),"M2,3",68eV
Cu(Copper),K,8979eV
Cu(Copper),L1,1096eV
Cu(Copper),"L2,3",941eV
Cu(Copper),"M2,3",74eV
Zn(Zinc),K,9659eV
Zn(Zinc),L1,1194eV
Zn(Zinc),"L2,3",1032eV
Zn(Zinc),"M2,3",87eV
Ga(Gallium),L1,1298eV
Ga(Gallium),"L2,3",1129eV
Ga(Gallium),"M2,3",105eV
Ge(Germanium),L1,1414eV
Ge(Germanium),"L2,3",1233eV
Ge(Germanium),"M2,3",125eV
Ge(Germanium),"M4,5",30eV
As(Arsenic),L1,1527eV
As(Arsenic),"L2,3",1341eV
As(Arsenic),"M2,3",144eV
As(Arsenic),"M4,5",41eV
Se(Selenium),L1,1654eV
Se(Selenium),"L2,3",1456eV
Se(Selenium),"M2,3",162eV
Se(Selenium),"M4,5",57eV
Br(Bromine),L1,1782eV
Br(Bromine),"L2,3",1573eV
Br(Bromine),"M2,3",182eV
Br(Bromine),"M4,5",70eV
Kr(Krypton),L1,1921eV
Kr(Krypton),"L2,3",1701eV
Kr(Krypton),"M2,3",214eV
Kr(Krypton),"M4,5",89eV
Rb(Rubidium),L1,2065eV
Rb(Rubidium),"L2,3",1825eV
Rb(Rubidium),"M2,3",239eV
Rb(Rubidium),"M4,5",111eV
Sr(Strontium),L1,2216eV
Sr(Strontium),"L2,3",1974eV
Sr(Strontium),"M2,3",270eV
Sr(Strontium),"M4,5",134eV
Sr(Strontium),"N2,3",20eV
Y(Yttrium),L1,2373eV
Y(Yttrium),"L2,3",2118eV
Y(Yttrium),"M2,3",300eV
Y(Yttrium),"M4,5",160eV
Y(Yttrium),"N2,3",28eV
Zr(Zirconium),L1,2532eV
Zr(Zirconium),"L2,3",2265eV
Zr(Zirconium),"M2,3",335eV
Zr(Zirconium),"M4,5",181eV
Zr(Zirconium),"N2,3",32eV
Nb(Niobium),L1,2698eV
Nb(Niobium),"L2,3",2418eV
Nb(Niobium),"M2,3",371eV
Nb(Niobium),"M4,5",207eV
Nb(Niobium),"N2,3",35eV
Mo(Molybdenum),L1,2866eV
Mo(Molybdenum),"L2,3",2573eV
Mo(Molybdenum),"M2,3",400eV
Mo(Molybdenum),"M4,5",228eV
Mo(Molybdenum),"N2,3",37eV
Ru(Ruthenium),L1,3224eV
Ru(Ruthenium),"L2,3",2903eV
Ru(Ruthenium),"M2,3",472eV
Ru(Ruthenium),"M4,5",281eV
Ru(Ruthenium),"N2,3",42eV
Rh(Rhodium),"M4,5",310eV
Rh(Rhodium),"N2,3",48eV
Pd(Palladium),"M4,5",338eV
Pd(Palladium),"N2,3",50eV
Ag(Silver),"M4,5",370eV
Ag(Silver),"N2,3",59eV
Cd(Cadmium),"M4,5",408eV
